,mean,sd,hdi_3%,hdi_97%
beta_26[30],0.174,0.049,0.085,0.262
beta_26[23],0.149,0.039,0.065,0.212
beta_26[32],0.179,0.047,0.088,0.259
beta_26[15],0.182,0.042,0.109,0.261
beta_26[4],0.163,0.035,0.098,0.229
beta_26[26],0.114,0.045,0.033,0.198
beta_26[42],0.177,0.048,0.08,0.259
beta_26[13],0.156,0.037,0.085,0.223
beta_26[14],0.157,0.037,0.083,0.223
beta_26[43],0.17,0.038,0.104,0.24
beta_26[3],0.167,0.037,0.097,0.237
beta_26[49],0.178,0.04,0.109,0.258
beta_26[46],0.15,0.054,0.051,0.249
beta_26[37],0.158,0.038,0.085,0.228
beta_26[31],0.162,0.037,0.093,0.233
beta_26[9],0.184,0.047,0.095,0.269
beta_26[16],0.155,0.036,0.078,0.218
beta_26[28],0.165,0.038,0.097,0.245
beta_26[41],0.171,0.035,0.103,0.235
beta_26[11],0.108,0.043,0.035,0.189
beta_26[25],0.158,0.036,0.094,0.228
beta_26[35],0.166,0.038,0.104,0.255
beta_26[22],0.173,0.04,0.094,0.247
beta_26[27],0.176,0.049,0.084,0.266
beta_26[2],0.151,0.038,0.081,0.224
beta_26[47],0.144,0.052,0.049,0.241
beta_26[5],0.169,0.04,0.097,0.248
beta_26[36],0.159,0.037,0.093,0.231
beta_26[48],0.163,0.036,0.099,0.235
g_beta_27[0],0.181,0.04,0.109,0.256
g_beta_27[1],0.018,0.084,-0.143,0.171
g_beta_27[2],0.211,0.091,0.033,0.381
beta_27[1],0.19,0.065,0.073,0.312
beta_27[18],0.168,0.069,0.046,0.313
beta_27[39],0.4,0.098,0.217,0.59
beta_27[8],0.201,0.093,0.026,0.373
beta_27[10],0.384,0.095,0.209,0.573
beta_27[0],0.199,0.095,0.021,0.368
beta_27[19],0.163,0.064,0.042,0.279
beta_27[12],0.393,0.095,0.227,0.591
beta_27[7],0.196,0.071,0.074,0.305
beta_27[6],0.192,0.096,0.01,0.365
beta_27[21],0.188,0.073,0.064,0.311
beta_27[20],0.204,0.071,0.079,0.335
beta_27[33],0.207,0.082,0.07,0.358
beta_27[45],0.194,0.063,0.08,0.312
beta_27[17],0.167,0.06,0.05,0.273
beta_27[29],0.173,0.063,0.056,0.296
beta_27[40],0.383,0.096,0.206,0.577
beta_27[38],0.183,0.061,0.07,0.302
beta_27[24],0.399,0.095,0.233,0.595
beta_27[34],0.178,0.064,0.056,0.3
beta_27[44],0.188,0.062,0.076,0.317
beta_27[30],0.219,0.098,0.04,0.398
beta_27[23],0.169,0.062,0.059,0.29
beta_27[32],0.187,0.096,-0.002,0.356
beta_27[15],0.182,0.064,0.056,0.296
beta_27[4],0.183,0.062,0.064,0.302
beta_27[26],0.402,0.095,0.224,0.596
beta_27[42],0.189,0.098,-0.011,0.351
beta_27[13],0.187,0.062,0.069,0.3
beta_27[14],0.167,0.061,0.053,0.28
beta_27[43],0.169,0.063,0.05,0.291
beta_27[3],0.182,0.062,0.059,0.291
beta_27[49],0.169,0.06,0.051,0.281
beta_27[46],0.407,0.12,0.171,0.628
beta_27[37],0.174,0.064,0.057,0.301
beta_27[31],0.189,0.062,0.069,0.293
beta_27[9],0.217,0.101,0.014,0.387
beta_27[16],0.171,0.066,0.051,0.301
beta_27[28],0.173,0.063,0.058,0.293
beta_27[41],0.216,0.084,0.086,0.371
beta_27[11],0.393,0.089,0.225,0.567
beta_27[25],0.179,0.058,0.07,0.291
beta_27[35],0.166,0.062,0.054,0.286
beta_27[22],0.162,0.064,0.038,0.27
beta_27[27],0.197,0.097,0.001,0.362
beta_27[2],0.194,0.063,0.082,0.315
beta_27[47],0.411,0.118,0.193,0.647
beta_27[5],0.183,0.06,0.063,0.291
beta_27[36],0.184,0.065,0.069,0.309
beta_27[48],0.172,0.064,0.042,0.29
g_beta_28[0],0.461,0.029,0.412,0.52
g_beta_28[1],-0.138,0.063,-0.252,-0.015
g_beta_28[2],-0.001,0.05,-0.088,0.101
beta_28[1],0.466,0.045,0.375,0.545
beta_28[18],0.467,0.043,0.39,0.553
beta_28[39],0.463,0.052,0.363,0.56
beta_28[8],0.325,0.065,0.201,0.448
beta_28[10],0.454,0.052,0.363,0.558
beta_28[0],0.306,0.063,0.198,0.432
beta_28[19],0.459,0.042,0.383,0.541
beta_28[12],0.452,0.052,0.348,0.544
beta_28[7],0.454,0.041,0.371,0.53
beta_28[6],0.328,0.064,0.213,0.448
beta_28[21],0.478,0.046,0.395,0.573
beta_28[20],0.473,0.044,0.394,0.561
beta_28[33],0.462,0.042,0.379,0.538
beta_28[45],0.471,0.05,0.39,0.583
beta_28[17],0.457,0.045,0.365,0.543
beta_28[29],0.464,0.044,0.382,0.551
beta_28[40],0.467,0.052,0.368,0.568
beta_28[38],0.458,0.044,0.377,0.547
beta_28[24],0.455,0.053,0.353,0.556
beta_28[34],0.461,0.042,0.378,0.538
beta_28[44],0.462,0.043,0.379,0.541
beta_28[30],0.305,0.064,0.181,0.424
beta_28[23],0.468,0.045,0.387,0.557
beta_28[32],0.328,0.07,0.198,0.454
beta_28[15],0.46,0.042,0.385,0.542
beta_28[4],0.456,0.043,0.375,0.54
beta_28[26],0.474,0.056,0.37,0.583
beta_28[42],0.33,0.068,0.206,0.465
beta_28[13],0.458,0.044,0.377,0.547
beta_28[14],0.453,0.044,0.369,0.533
beta_28[43],0.462,0.043,0.388,0.55
beta_28[3],0.465,0.04,0.396,0.549
beta_28[49],0.46,0.045,0.38,0.549
beta_28[46],0.324,0.07,0.181,0.441
beta_28[37],0.461,0.042,0.377,0.539
beta_28[31],0.468,0.047,0.383,0.561
beta_28[9],0.325,0.064,0.208,0.448
beta_28[16],0.442,0.047,0.35,0.526
beta_28[28],0.462,0.045,0.376,0.546
beta_28[41],0.458,0.043,0.377,0.545
beta_28[11],0.445,0.054,0.34,0.542
beta_28[25],0.467,0.042,0.392,0.557
beta_28[35],0.457,0.044,0.375,0.538
beta_28[22],0.464,0.044,0.381,0.551
beta_28[27],0.33,0.069,0.206,0.466
beta_28[2],0.451,0.042,0.374,0.536
beta_28[47],0.329,0.069,0.197,0.46
beta_28[5],0.465,0.043,0.387,0.547
beta_28[36],0.472,0.046,0.384,0.559
beta_28[48],0.457,0.043,0.369,0.531
g_beta_29[0],0.303,0.027,0.252,0.357
g_beta_29[1],-0.063,0.051,-0.165,0.03
g_beta_29[2],-0.032,0.044,-0.117,0.051
beta_29[1],0.298,0.052,0.191,0.389
beta_29[18],0.335,0.052,0.246,0.437
beta_29[39],0.257,0.055,0.154,0.363
beta_29[8],0.217,0.059,0.11,0.328
beta_29[10],0.255,0.048,0.165,0.346
beta_29[0],0.245,0.062,0.133,0.365
beta_29[19],0.292,0.049,0.202,0.387
beta_29[12],0.228,0.054,0.132,0.33
beta_29[7],0.298,0.049,0.2,0.393
beta_29[6],0.22,0.062,0.103,0.332
beta_29[21],0.288,0.051,0.191,0.385
beta_29[20],0.298,0.049,0.203,0.394
beta_29[33],0.291,0.048,0.195,0.376
beta_29[45],0.325,0.053,0.232,0.423
beta_29[17],0.296,0.049,0.201,0.39
beta_29[29],0.316,0.051,0.224,0.414
beta_29[40],0.307,0.064,0.189,0.425
beta_29[38],0.325,0.051,0.225,0.412
beta_29[24],0.286,0.054,0.187,0.391
beta_29[34],0.323,0.051,0.223,0.416
beta_29[44],0.305,0.05,0.216,0.405
beta_29[30],0.23,0.062,0.113,0.341
beta_29[23],0.322,0.052,0.232,0.431
beta_29[32],0.261,0.066,0.145,0.395
beta_29[15],0.295,0.049,0.198,0.384
beta_29[4],0.285,0.052,0.186,0.382
beta_29[26],0.238,0.057,0.128,0.343
beta_29[42],0.261,0.063,0.154,0.388
beta_29[13],0.335,0.054,0.238,0.437
beta_29[14],0.275,0.051,0.182,0.371
beta_29[43],0.31,0.049,0.225,0.405
beta_29[3],0.283,0.049,0.193,0.381
beta_29[49],0.28,0.051,0.178,0.375
beta_29[46],0.235,0.067,0.121,0.368
beta_29[37],0.303,0.056,0.191,0.41
beta_29[31],0.31,0.056,0.203,0.419
beta_29[9],0.24,0.06,0.126,0.348
beta_29[16],0.302,0.049,0.205,0.393
beta_29[28],0.325,0.052,0.231,0.423
beta_29[41],0.321,0.049,0.237,0.415
beta_29[11],0.27,0.05,0.178,0.365
beta_29[25],0.314,0.051,0.222,0.42
beta_29[35],0.282,0.049,0.188,0.372
beta_29[22],0.334,0.056,0.232,0.436
beta_29[27],0.193,0.067,0.061,0.313
beta_29[2],0.286,0.049,0.195,0.382
beta_29[47],0.233,0.069,0.114,0.368
beta_29[5],0.302,0.048,0.206,0.388
beta_29[36],0.288,0.051,0.197,0.394
beta_29[48],0.311,0.048,0.221,0.4
g_beta_30[0],-0.48,0.035,-0.546,-0.42
g_beta_30[1],0.09,0.069,-0.057,0.212
g_beta_30[2],-0.074,0.064,-0.203,0.04
beta_30[1],-0.477,0.042,-0.561,-0.408
beta_30[18],-0.478,0.044,-0.557,-0.401
beta_30[39],-0.552,0.064,-0.669,-0.429
beta_30[8],-0.397,0.069,-0.519,-0.265
beta_30[10],-0.555,0.065,-0.681,-0.435
beta_30[0],-0.391,0.068,-0.515,-0.264
beta_30[19],-0.482,0.043,-0.559,-0.403
beta_30[12],-0.552,0.067,-0.673,-0.424
beta_30[7],-0.48,0.041,-0.561,-0.41
beta_30[6],-0.389,0.069,-0.512,-0.258
beta_30[21],-0.476,0.044,-0.557,-0.399
beta_30[20],-0.484,0.042,-0.56,-0.407
beta_30[33],-0.484,0.043,-0.563,-0.408
beta_30[45],-0.475,0.043,-0.555,-0.397
beta_30[17],-0.479,0.044,-0.559,-0.401
beta_30[29],-0.479,0.044,-0.564,-0.402
beta_30[40],-0.551,0.065,-0.669,-0.425
beta_30[38],-0.477,0.044,-0.554,-0.397
beta_30[24],-0.56,0.066,-0.685,-0.436
beta_30[34],-0.479,0.041,-0.553,-0.402
beta_30[44],-0.476,0.044,-0.553,-0.396
beta_30[30],-0.392,0.069,-0.51,-0.259
beta_30[23],-0.475,0.043,-0.553,-0.397
beta_30[32],-0.392,0.068,-0.52,-0.266
beta_30[15],-0.488,0.043,-0.561,-0.409
beta_30[4],-0.483,0.045,-0.568,-0.405
beta_30[26],-0.548,0.068,-0.673,-0.414
beta_30[42],-0.385,0.069,-0.516,-0.26
beta_30[13],-0.48,0.044,-0.56,-0.405
beta_30[14],-0.471,0.047,-0.559,-0.389
beta_30[43],-0.477,0.041,-0.556,-0.409
beta_30[3],-0.488,0.044,-0.567,-0.409
beta_30[49],-0.484,0.042,-0.564,-0.411
beta_30[46],-0.462,0.077,-0.604,-0.317
beta_30[37],-0.473,0.044,-0.556,-0.394
beta_30[31],-0.481,0.045,-0.564,-0.401
beta_30[9],-0.393,0.07,-0.513,-0.259
beta_30[16],-0.48,0.042,-0.557,-0.406
beta_30[28],-0.473,0.044,-0.557,-0.399
beta_30[41],-0.475,0.044,-0.562,-0.401
beta_30[11],-0.557,0.065,-0.68,-0.438
beta_30[25],-0.475,0.046,-0.556,-0.391
beta_30[35],-0.478,0.042,-0.557,-0.403
beta_30[22],-0.484,0.043,-0.563,-0.406
beta_30[27],-0.382,0.07,-0.516,-0.252
beta_30[2],-0.48,0.043,-0.559,-0.406
beta_30[47],-0.464,0.076,-0.614,-0.325
beta_30[5],-0.482,0.042,-0.56,-0.406
beta_30[36],-0.484,0.043,-0.567,-0.411
beta_30[48],-0.48,0.043,-0.557,-0.401
g_beta_31[0],0.512,0.055,0.411,0.6
g_beta_31[1],-0.185,0.097,-0.367,0.003
g_beta_31[2],-0.083,0.102,-0.272,0.106
beta_31[1],0.494,0.089,0.319,0.66
beta_31[18],0.548,0.097,0.387,0.75
beta_31[39],0.436,0.102,0.251,0.621
beta_31[8],0.324,0.105,0.134,0.528
beta_31[10],0.424,0.096,0.256,0.606
beta_31[0],0.308,0.112,0.117,0.535
beta_31[19],0.528,0.091,0.352,0.704
beta_31[12],0.375,0.115,0.161,0.582
beta_31[7],0.499,0.087,0.326,0.66
beta_31[6],0.354,0.112,0.158,0.573
beta_31[21],0.523,0.088,0.366,0.701
beta_31[20],0.514,0.085,0.372,0.697
beta_31[33],0.525,0.082,0.38,0.686
beta_31[45],0.501,0.086,0.335,0.659
beta_31[17],0.44,0.121,0.194,0.624
beta_31[29],0.529,0.096,0.362,0.735
beta_31[40],0.405,0.106,0.216,0.601
beta_31[38],0.485,0.091,0.296,0.631
beta_31[24],0.436,0.099,0.25,0.611
beta_31[34],0.585,0.122,0.39,0.832
beta_31[44],0.469,0.098,0.263,0.625
beta_31[30],0.399,0.136,0.155,0.654
beta_31[23],0.495,0.089,0.331,0.673
beta_31[32],0.348,0.11,0.149,0.563
beta_31[15],0.49,0.091,0.299,0.642
beta_31[4],0.446,0.111,0.219,0.614
beta_31[26],0.553,0.173,0.282,0.904
beta_31[42],0.322,0.111,0.131,0.547
beta_31[13],0.446,0.117,0.211,0.636
beta_31[14],0.482,0.088,0.303,0.625
beta_31[43],0.587,0.125,0.402,0.841
beta_31[3],0.485,0.09,0.302,0.644
beta_31[49],0.537,0.091,0.38,0.723
beta_31[46],0.224,0.123,-0.011,0.453
beta_31[37],0.562,0.11,0.364,0.781
beta_31[31],0.483,0.094,0.289,0.633
beta_31[9],0.286,0.123,0.044,0.517
beta_31[16],0.491,0.088,0.304,0.639
beta_31[28],0.509,0.085,0.343,0.667
beta_31[41],0.526,0.087,0.38,0.708
beta_31[11],0.401,0.104,0.212,0.597
beta_31[25],0.566,0.105,0.381,0.772
beta_31[35],0.552,0.095,0.391,0.743
beta_31[22],0.526,0.09,0.373,0.711
beta_31[27],0.295,0.115,0.084,0.514
beta_31[2],0.497,0.085,0.333,0.65
beta_31[47],0.231,0.123,0.017,0.475
beta_31[5],0.498,0.087,0.31,0.65
beta_31[36],0.53,0.095,0.361,0.727
beta_31[48],0.521,0.086,0.369,0.69
g_beta_32[0],-0.356,0.023,-0.398,-0.312
g_beta_32[1],0.011,0.048,-0.077,0.107
g_beta_32[2],0.044,0.052,-0.057,0.138
beta_32[1],-0.356,0.032,-0.419,-0.3
beta_32[18],-0.352,0.033,-0.413,-0.292
beta_32[39],-0.318,0.05,-0.41,-0.226
beta_32[8],-0.348,0.049,-0.441,-0.257
beta_32[10],-0.309,0.048,-0.394,-0.214
beta_32[0],-0.347,0.049,-0.441,-0.255
beta_32[19],-0.347,0.036,-0.411,-0.279
beta_32[12],-0.313,0.048,-0.404,-0.228
beta_32[7],-0.353,0.033,-0.415,-0.295
beta_32[6],-0.343,0.049,-0.438,-0.251
beta_32[21],-0.359,0.032,-0.421,-0.298
beta_32[20],-0.357,0.031,-0.42,-0.302
beta_32[33],-0.361,0.031,-0.424,-0.309
beta_32[45],-0.355,0.03,-0.414,-0.301
beta_32[17],-0.362,0.032,-0.428,-0.309
beta_32[29],-0.356,0.031,-0.416,-0.298
beta_32[40],-0.309,0.048,-0.4,-0.218
beta_32[38],-0.354,0.032,-0.414,-0.294
beta_32[24],-0.308,0.05,-0.413,-0.223
beta_32[34],-0.358,0.032,-0.419,-0.302
beta_32[44],-0.357,0.034,-0.423,-0.292
beta_32[30],-0.349,0.049,-0.441,-0.256
beta_32[23],-0.359,0.03,-0.419,-0.304
beta_32[32],-0.338,0.05,-0.432,-0.241
beta_32[15],-0.361,0.031,-0.422,-0.303
beta_32[4],-0.358,0.032,-0.417,-0.297
beta_32[26],-0.314,0.05,-0.406,-0.219
beta_32[42],-0.344,0.049,-0.436,-0.252
beta_32[13],-0.358,0.031,-0.419,-0.303
beta_32[14],-0.357,0.033,-0.424,-0.302
beta_32[43],-0.353,0.033,-0.413,-0.29
beta_32[3],-0.356,0.032,-0.416,-0.295
beta_32[49],-0.355,0.03,-0.41,-0.299
beta_32[46],-0.304,0.064,-0.418,-0.181
beta_32[37],-0.356,0.032,-0.42,-0.298
beta_32[31],-0.354,0.031,-0.417,-0.297
beta_32[9],-0.351,0.05,-0.445,-0.255
beta_32[16],-0.358,0.033,-0.42,-0.297
beta_32[28],-0.356,0.031,-0.416,-0.299
beta_32[41],-0.351,0.033,-0.413,-0.292
beta_32[11],-0.308,0.048,-0.397,-0.221
beta_32[25],-0.356,0.033,-0.418,-0.293
beta_32[35],-0.357,0.031,-0.42,-0.302
beta_32[22],-0.353,0.032,-0.415,-0.294
beta_32[27],-0.341,0.05,-0.437,-0.248
beta_32[2],-0.354,0.032,-0.414,-0.293
beta_32[47],-0.299,0.063,-0.415,-0.179
beta_32[5],-0.359,0.035,-0.427,-0.298
beta_32[36],-0.356,0.031,-0.415,-0.297
beta_32[48],-0.362,0.032,-0.423,-0.299
g_beta_33[0],-0.279,0.036,-0.342,-0.214
g_beta_33[1],-0.122,0.082,-0.266,0.029
g_beta_33[2],-0.084,0.08,-0.236,0.064
beta_33[1],-0.278,0.045,-0.357,-0.191
beta_33[18],-0.277,0.044,-0.362,-0.194
beta_33[39],-0.358,0.078,-0.517,-0.215
beta_33[8],-0.396,0.079,-0.538,-0.249
beta_33[10],-0.358,0.078,-0.51,-0.21
beta_33[0],-0.405,0.078,-0.543,-0.256
beta_33[19],-0.274,0.046,-0.35,-0.182
beta_33[12],-0.363,0.078,-0.518,-0.222
beta_33[7],-0.284,0.047,-0.362,-0.183
beta_33[6],-0.399,0.079,-0.539,-0.246
beta_33[21],-0.279,0.046,-0.369,-0.191
beta_33[20],-0.278,0.043,-0.346,-0.184
beta_33[33],-0.281,0.047,-0.362,-0.181
beta_33[45],-0.277,0.046,-0.359,-0.188
beta_33[17],-0.285,0.047,-0.364,-0.186
beta_33[29],-0.283,0.045,-0.358,-0.188
beta_33[40],-0.359,0.079,-0.518,-0.214
beta_33[38],-0.28,0.044,-0.358,-0.192
beta_33[24],-0.361,0.079,-0.512,-0.214
beta_33[34],-0.28,0.046,-0.356,-0.182
beta_33[44],-0.28,0.044,-0.355,-0.188
beta_33[30],-0.402,0.079,-0.535,-0.244
beta_33[23],-0.278,0.045,-0.353,-0.186
beta_33[32],-0.398,0.078,-0.534,-0.245
beta_33[15],-0.282,0.046,-0.358,-0.185
beta_33[4],-0.286,0.049,-0.372,-0.184
beta_33[26],-0.368,0.08,-0.532,-0.226
beta_33[42],-0.395,0.078,-0.532,-0.242
beta_33[13],-0.285,0.045,-0.365,-0.192
beta_33[14],-0.277,0.044,-0.36,-0.188
beta_33[43],-0.273,0.048,-0.356,-0.178
beta_33[3],-0.286,0.048,-0.369,-0.185
beta_33[49],-0.275,0.045,-0.351,-0.188
beta_33[46],-0.489,0.09,-0.645,-0.301
beta_33[37],-0.274,0.046,-0.348,-0.184
beta_33[31],-0.278,0.044,-0.356,-0.192
beta_33[9],-0.401,0.079,-0.531,-0.239
beta_33[16],-0.28,0.046,-0.362,-0.183
beta_33[28],-0.27,0.046,-0.346,-0.176
beta_33[41],-0.281,0.045,-0.359,-0.19
beta_33[11],-0.359,0.078,-0.52,-0.22
beta_33[25],-0.279,0.044,-0.355,-0.189
beta_33[35],-0.278,0.044,-0.352,-0.188
beta_33[22],-0.272,0.047,-0.35,-0.18
beta_33[27],-0.398,0.079,-0.535,-0.249
beta_33[2],-0.278,0.045,-0.363,-0.192
beta_33[47],-0.488,0.091,-0.646,-0.308
beta_33[5],-0.274,0.048,-0.357,-0.18
beta_33[36],-0.276,0.048,-0.36,-0.18
beta_33[48],-0.286,0.045,-0.367,-0.194
g_beta_34[0],-0.105,0.032,-0.165,-0.052
g_beta_34[1],-0.107,0.058,-0.218,0.012
g_beta_34[2],0.099,0.055,-0.001,0.203
beta_34[1],-0.107,0.045,-0.192,-0.028
beta_34[18],-0.097,0.045,-0.182,-0.018
beta_34[39],-0.016,0.059,-0.117,0.103
beta_34[8],-0.203,0.058,-0.315,-0.097
beta_34[10],0.006,0.057,-0.094,0.116
beta_34[0],-0.217,0.059,-0.325,-0.101
beta_34[19],-0.11,0.046,-0.194,-0.026
beta_34[12],0.007,0.056,-0.1,0.109
beta_34[7],-0.117,0.047,-0.206,-0.029
beta_34[6],-0.205,0.059,-0.315,-0.09
beta_34[21],-0.098,0.044,-0.177,-0.014
beta_34[20],-0.112,0.047,-0.196,-0.026
beta_34[33],-0.098,0.045,-0.176,-0.013
beta_34[45],-0.095,0.046,-0.174,-0.01
beta_34[17],-0.105,0.047,-0.185,-0.018
beta_34[29],-0.104,0.041,-0.177,-0.03
beta_34[40],-0.009,0.057,-0.111,0.103
beta_34[38],-0.096,0.045,-0.174,-0.014
beta_34[24],-0.014,0.056,-0.118,0.088
beta_34[34],-0.107,0.044,-0.19,-0.028
beta_34[44],-0.105,0.047,-0.187,-0.016
beta_34[30],-0.217,0.058,-0.33,-0.114
beta_34[23],-0.102,0.044,-0.184,-0.024
beta_34[32],-0.208,0.058,-0.323,-0.104
beta_34[15],-0.101,0.044,-0.181,-0.02
beta_34[4],-0.115,0.048,-0.21,-0.029
beta_34[26],-0.004,0.057,-0.104,0.106
beta_34[42],-0.209,0.061,-0.322,-0.096
beta_34[13],-0.117,0.046,-0.205,-0.029
beta_34[14],-0.096,0.043,-0.173,-0.018
beta_34[43],-0.106,0.043,-0.185,-0.024
beta_34[3],-0.113,0.045,-0.196,-0.031
beta_34[49],-0.099,0.043,-0.173,-0.021
beta_34[46],-0.122,0.071,-0.257,0.01
beta_34[37],-0.104,0.045,-0.189,-0.022
beta_34[31],-0.115,0.045,-0.198,-0.03
beta_34[9],-0.207,0.061,-0.328,-0.097
beta_34[16],-0.13,0.057,-0.236,-0.037
beta_34[28],-0.115,0.044,-0.197,-0.034
beta_34[41],-0.092,0.046,-0.171,-0.005
beta_34[11],0.002,0.055,-0.101,0.104
beta_34[25],-0.103,0.044,-0.177,-0.016
beta_34[35],-0.107,0.043,-0.191,-0.033
beta_34[22],-0.103,0.044,-0.179,-0.016
beta_34[27],-0.218,0.061,-0.329,-0.101
beta_34[2],-0.101,0.044,-0.179,-0.02
beta_34[47],-0.117,0.068,-0.244,0.012
beta_34[5],-0.108,0.044,-0.183,-0.022
beta_34[36],-0.102,0.044,-0.176,-0.018
beta_34[48],-0.099,0.045,-0.18,-0.014
g_beta_35[0],-0.126,0.036,-0.19,-0.061
g_beta_35[1],-0.082,0.062,-0.198,0.035
g_beta_35[2],0.102,0.058,-0.006,0.21
beta_35[1],-0.141,0.074,-0.308,-0.016
beta_35[18],-0.141,0.057,-0.254,-0.045
beta_35[39],-0.023,0.063,-0.145,0.081
beta_35[8],-0.2,0.068,-0.316,-0.064
beta_35[10],-0.019,0.058,-0.118,0.096
beta_35[0],-0.196,0.068,-0.325,-0.067
beta_35[19],-0.134,0.052,-0.235,-0.038
beta_35[12],-0.035,0.067,-0.171,0.084
beta_35[7],-0.089,0.067,-0.193,0.062
beta_35[6],-0.222,0.071,-0.348,-0.086
beta_35[21],-0.138,0.056,-0.242,-0.033
beta_35[20],-0.094,0.06,-0.203,0.019
beta_35[33],-0.115,0.062,-0.224,0.011
beta_35[45],-0.155,0.063,-0.277,-0.046
beta_35[17],-0.123,0.057,-0.234,-0.01
beta_35[29],-0.103,0.068,-0.208,0.042
beta_35[40],-0.005,0.067,-0.147,0.112
beta_35[38],-0.134,0.06,-0.246,-0.016
beta_35[24],-0.025,0.068,-0.156,0.103
beta_35[34],-0.148,0.061,-0.268,-0.037
beta_35[44],-0.115,0.058,-0.226,-0.003
beta_35[30],-0.181,0.074,-0.32,-0.045
beta_35[23],-0.129,0.056,-0.239,-0.026
beta_35[32],-0.248,0.079,-0.406,-0.109
beta_35[15],-0.112,0.053,-0.216,-0.019
beta_35[4],-0.142,0.058,-0.257,-0.037
beta_35[26],-0.055,0.079,-0.213,0.085
beta_35[42],-0.208,0.071,-0.345,-0.083
beta_35[13],-0.145,0.057,-0.247,-0.033
beta_35[14],-0.161,0.066,-0.293,-0.049
beta_35[43],-0.129,0.06,-0.269,-0.034
beta_35[3],-0.111,0.057,-0.215,-0.001
beta_35[49],-0.156,0.068,-0.287,-0.036
beta_35[46],-0.106,0.081,-0.259,0.042
beta_35[37],-0.128,0.058,-0.236,-0.015
beta_35[31],-0.144,0.062,-0.277,-0.039
beta_35[9],-0.213,0.071,-0.34,-0.078
beta_35[16],-0.117,0.053,-0.214,-0.018
beta_35[28],-0.103,0.056,-0.213,-0.0
beta_35[41],-0.108,0.067,-0.224,0.027
beta_35[11],-0.027,0.064,-0.148,0.084
beta_35[25],-0.064,0.075,-0.197,0.077
beta_35[35],-0.111,0.061,-0.224,0.016
beta_35[22],-0.118,0.055,-0.227,-0.019
beta_35[27],-0.215,0.071,-0.357,-0.093
beta_35[2],-0.107,0.055,-0.2,0.008
beta_35[47],-0.08,0.082,-0.243,0.063
beta_35[5],-0.142,0.058,-0.255,-0.031
beta_35[36],-0.141,0.06,-0.261,-0.034
beta_35[48],-0.129,0.057,-0.234,-0.026
g_beta_36[0],0.058,0.034,-0.008,0.119
g_beta_36[1],0.173,0.067,0.051,0.301
g_beta_36[2],-0.149,0.063,-0.276,-0.036
beta_36[1],0.057,0.043,-0.02,0.137
beta_36[18],0.06,0.042,-0.013,0.14
beta_36[39],-0.095,0.063,-0.214,0.021
beta_36[8],0.236,0.067,0.107,0.357
beta_36[10],-0.091,0.063,-0.21,0.027
beta_36[0],0.233,0.066,0.109,0.355
beta_36[19],0.055,0.043,-0.025,0.135
beta_36[12],-0.094,0.062,-0.214,0.018
beta_36[7],0.061,0.043,-0.02,0.138
beta_36[6],0.229,0.067,0.096,0.342
beta_36[21],0.054,0.044,-0.027,0.134
beta_36[20],0.063,0.042,-0.017,0.145
beta_36[33],0.059,0.044,-0.021,0.141
beta_36[45],0.063,0.044,-0.014,0.142
beta_36[17],0.068,0.044,-0.011,0.145
beta_36[29],0.052,0.045,-0.029,0.133
beta_36[40],-0.088,0.064,-0.21,0.027
beta_36[38],0.06,0.042,-0.019,0.141
beta_36[24],-0.089,0.063,-0.204,0.028
beta_36[34],0.051,0.045,-0.043,0.125
beta_36[44],0.057,0.043,-0.025,0.134
beta_36[30],0.225,0.068,0.092,0.34
beta_36[23],0.057,0.043,-0.021,0.138
beta_36[32],0.218,0.071,0.088,0.345
beta_36[15],0.063,0.045,-0.02,0.142
beta_36[4],0.056,0.044,-0.03,0.133
beta_36[26],-0.09,0.062,-0.208,0.024
beta_36[42],0.235,0.067,0.1,0.347
beta_36[13],0.059,0.045,-0.022,0.14
beta_36[14],0.054,0.045,-0.032,0.134
beta_36[43],0.058,0.043,-0.017,0.141
beta_36[3],0.063,0.044,-0.022,0.138
beta_36[49],0.052,0.044,-0.027,0.132
beta_36[46],0.084,0.078,-0.063,0.224
beta_36[37],0.055,0.045,-0.022,0.142
beta_36[31],0.056,0.045,-0.027,0.138
beta_36[9],0.241,0.068,0.107,0.365
beta_36[16],0.064,0.043,-0.013,0.143
beta_36[28],0.056,0.042,-0.022,0.138
beta_36[41],0.056,0.043,-0.023,0.138
beta_36[11],-0.097,0.062,-0.217,0.014
beta_36[25],0.058,0.044,-0.026,0.137
beta_36[35],0.056,0.043,-0.023,0.135
beta_36[22],0.06,0.043,-0.024,0.134
beta_36[27],0.226,0.069,0.096,0.347
beta_36[2],0.056,0.041,-0.016,0.135
beta_36[47],0.084,0.078,-0.051,0.232
beta_36[5],0.069,0.045,-0.013,0.15
beta_36[36],0.06,0.043,-0.02,0.14
beta_36[48],0.057,0.043,-0.023,0.138
g_beta_37[0],0.005,0.023,-0.039,0.048
g_beta_37[1],0.088,0.046,-0.007,0.17
g_beta_37[2],-0.096,0.051,-0.189,0.004
beta_37[1],0.008,0.037,-0.057,0.086
beta_37[18],0.015,0.037,-0.057,0.088
beta_37[39],-0.083,0.053,-0.181,0.026
beta_37[8],0.094,0.05,-0.005,0.188
beta_37[10],-0.089,0.05,-0.177,0.011
beta_37[0],0.086,0.051,-0.004,0.187
