,mean,sd,hdi_3%,hdi_97%
beta_2[45],-0.158,0.035,-0.227,-0.093
beta_2[17],-0.158,0.035,-0.217,-0.082
beta_2[29],-0.153,0.034,-0.217,-0.085
beta_2[40],-0.071,0.051,-0.173,0.019
beta_2[38],-0.152,0.034,-0.213,-0.085
beta_2[24],-0.069,0.051,-0.159,0.029
beta_2[34],-0.153,0.034,-0.213,-0.083
beta_2[44],-0.159,0.034,-0.223,-0.093
beta_2[30],-0.174,0.055,-0.281,-0.072
beta_2[23],-0.161,0.036,-0.224,-0.085
beta_2[32],-0.171,0.055,-0.278,-0.069
beta_2[15],-0.165,0.036,-0.233,-0.098
beta_2[4],-0.157,0.035,-0.223,-0.086
beta_2[26],-0.08,0.054,-0.191,0.016
beta_2[42],-0.177,0.055,-0.282,-0.074
beta_2[13],-0.16,0.035,-0.225,-0.092
beta_2[14],-0.16,0.035,-0.22,-0.088
beta_2[43],-0.147,0.036,-0.208,-0.075
beta_2[3],-0.16,0.035,-0.224,-0.093
beta_2[49],-0.155,0.035,-0.219,-0.088
beta_2[46],-0.088,0.066,-0.207,0.032
beta_2[37],-0.16,0.034,-0.223,-0.094
beta_2[31],-0.156,0.034,-0.215,-0.085
beta_2[9],-0.174,0.054,-0.27,-0.065
beta_2[16],-0.157,0.034,-0.218,-0.089
beta_2[28],-0.15,0.036,-0.211,-0.077
beta_2[41],-0.156,0.033,-0.221,-0.093
beta_2[11],-0.065,0.05,-0.165,0.027
beta_2[25],-0.159,0.035,-0.224,-0.093
beta_2[35],-0.149,0.036,-0.211,-0.075
beta_2[22],-0.15,0.035,-0.214,-0.084
beta_2[27],-0.175,0.055,-0.28,-0.073
beta_2[2],-0.153,0.035,-0.214,-0.084
beta_2[47],-0.095,0.066,-0.218,0.026
beta_2[5],-0.161,0.034,-0.231,-0.1
beta_2[36],-0.159,0.035,-0.223,-0.09
beta_2[48],-0.161,0.035,-0.227,-0.093
g_beta_3[0],0.2,0.029,0.144,0.249
g_beta_3[1],-0.029,0.054,-0.134,0.069
g_beta_3[2],-0.063,0.051,-0.157,0.04
beta_3[1],0.206,0.038,0.13,0.272
beta_3[18],0.208,0.038,0.139,0.284
beta_3[39],0.137,0.056,0.037,0.243
beta_3[8],0.172,0.057,0.069,0.277
beta_3[10],0.134,0.053,0.037,0.238
beta_3[0],0.174,0.057,0.065,0.28
beta_3[19],0.195,0.039,0.119,0.265
beta_3[12],0.129,0.053,0.035,0.231
beta_3[7],0.198,0.038,0.13,0.268
beta_3[6],0.174,0.058,0.063,0.283
beta_3[21],0.204,0.037,0.128,0.267
beta_3[20],0.197,0.039,0.123,0.262
beta_3[33],0.202,0.039,0.126,0.267
beta_3[45],0.203,0.039,0.125,0.275
beta_3[17],0.197,0.039,0.123,0.265
beta_3[29],0.2,0.039,0.123,0.267
beta_3[40],0.139,0.054,0.035,0.238
beta_3[38],0.202,0.038,0.132,0.269
beta_3[24],0.138,0.054,0.039,0.238
beta_3[34],0.199,0.038,0.129,0.269
beta_3[44],0.203,0.038,0.126,0.271
beta_3[30],0.164,0.059,0.057,0.273
beta_3[23],0.208,0.04,0.129,0.278
beta_3[32],0.169,0.057,0.056,0.269
beta_3[15],0.208,0.038,0.128,0.276
beta_3[4],0.193,0.041,0.115,0.263
beta_3[26],0.14,0.055,0.04,0.243
beta_3[42],0.167,0.057,0.056,0.268
beta_3[13],0.205,0.038,0.131,0.274
beta_3[14],0.208,0.041,0.129,0.279
beta_3[43],0.201,0.039,0.131,0.276
beta_3[3],0.188,0.04,0.109,0.254
beta_3[49],0.201,0.038,0.133,0.277
beta_3[46],0.112,0.068,-0.018,0.231
beta_3[37],0.206,0.039,0.131,0.281
beta_3[31],0.203,0.038,0.126,0.267
beta_3[9],0.17,0.056,0.057,0.266
beta_3[16],0.196,0.039,0.126,0.269
beta_3[28],0.188,0.042,0.104,0.254
beta_3[41],0.196,0.038,0.125,0.262
beta_3[11],0.137,0.052,0.03,0.225
beta_3[25],0.191,0.04,0.113,0.259
beta_3[35],0.205,0.038,0.133,0.274
beta_3[22],0.193,0.038,0.115,0.26
beta_3[27],0.173,0.056,0.069,0.277
beta_3[2],0.194,0.038,0.119,0.261
beta_3[47],0.11,0.068,-0.012,0.238
beta_3[5],0.202,0.038,0.129,0.27
beta_3[36],0.205,0.039,0.127,0.276
beta_3[48],0.199,0.038,0.123,0.265
